date,overall_rate,men_rate,women_rate,men_16_17_rate,women_16_17_rate,men_16_19_rate,women_16_19_rate,men_18_19_rate,women_18_19_rate,men_16_24_rate,women_16_24_rate,men_20_24_rate,women_20_24_rate,men_25plus_rate,women_25plus_rate,men_25_34_rate,women_25_34_rate,men_25_54_rate,women_25_54_rate,men_35_44_rate,women_35_44_rate,men_45_54_rate,women_45_54_rate,men_55plus_rate,women_55plus_rate,year
1991-12-01,7.3,7.6,6.9,24.0,24.6,21.3,19.1,19.3,15.7,15.4,13.7,12.6,10.9,6.0,5.4,7.5,7.1,6.2,5.6,5.6,4.8,5.1,4.6,4.8,,1991
1992-12-01,7.4,7.6,7.2,24.2,22.1,21.0,18.5,18.8,16.4,14.9,13.4,12.0,10.9,6.2,5.9,7.3,7.5,6.4,6.2,6.0,6.1,5.4,4.4,5.0,,1992
1993-12-01,6.5,6.6,6.4,20.8,19.0,19.4,16.4,18.2,14.6,13.2,11.8,10.1,9.4,5.4,5.3,6.3,6.8,5.5,5.6,5.3,5.4,4.5,4.2,5.0,,1993
1994-12-01,5.5,5.5,5.5,19.2,17.2,18.5,15.4,17.9,14.3,12.1,10.8,8.8,8.2,4.2,4.4,5.3,5.6,4.3,4.5,4.0,4.2,3.5,3.3,3.7,3.6,1994
1995-12-01,5.6,5.7,5.5,21.3,19.6,19.0,16.8,17.4,15.2,13.0,11.7,9.5,8.7,4.3,4.3,5.4,5.3,4.5,4.3,4.2,4.2,3.5,3.3,3.3,3.9,1995
1996-12-01,5.4,5.0,5.7,20.3,18.0,17.5,15.6,15.7,14.2,12.1,11.6,9.0,9.1,3.8,4.6,4.2,6.2,3.8,4.7,3.8,4.4,3.3,3.4,3.2,3.4,1996
1997-12-01,4.7,4.7,4.8,17.6,17.3,13.6,14.3,10.8,12.7,10.8,10.2,9.2,7.8,3.5,3.7,4.1,4.5,3.5,3.9,3.5,4.2,3.0,2.9,3.3,2.1,1997
1998-12-01,4.4,4.3,4.4,18.7,13.7,15.6,11.3,13.6,10.0,10.4,8.6,7.3,6.9,3.1,3.5,3.8,4.5,3.2,3.6,3.0,3.6,2.6,2.6,3.0,2.7,1998
1999-12-01,4.0,4.0,4.1,17.0,14.7,14.9,11.6,13.6,9.7,10.4,8.6,7.8,6.8,2.8,3.1,3.1,4.3,2.8,3.2,2.6,3.0,2.9,2.5,2.5,2.6,1999
2000-12-01,3.9,4.0,3.8,18.8,12.3,14.4,11.8,11.8,11.3,9.9,8.5,7.3,6.6,2.9,2.9,3.4,4.0,2.9,3.1,2.9,2.8,2.5,2.6,2.8,1.9,2000
2001-12-01,5.7,5.8,5.7,21.4,17.4,18.2,15.8,16.1,14.5,13.0,11.3,10.4,8.9,4.4,4.5,5.4,6.5,4.5,4.8,4.3,4.6,3.9,3.4,4.1,3.3,2001
2002-12-01,6.0,6.2,5.7,19.5,16.2,18.3,15.5,17.4,14.8,12.8,11.4,10.2,9.3,5.0,4.6,6.1,6.1,5.1,4.7,4.8,4.7,4.6,3.5,4.4,3.9,2002
2003-12-01,5.7,5.8,5.6,18.5,18.6,17.4,15.0,16.8,12.4,12.6,10.7,10.3,8.6,4.6,4.7,5.9,5.9,4.7,4.9,4.5,5.0,3.9,3.8,3.9,3.6,2003
