State,Unemployment Rate(%)
Alabama,2.9
Alaska,4.6
Arizona,3.5
Arkansas,3.3
California,5.3
Colorado,4.0
Connecticut,3.2
Delaware,4.2
District of Columbia,5.7
Florida,3.3
Georgia,3.6
Hawaii,2.9
Idaho,3.6
Illinois,5.3
Indiana,4.3
Iowa,2.9
Kansas,3.3
Kentucky,4.9
Louisiana,3.9
Maine,2.8
Maryland,2.9
Massachusetts,3.8
Michigan,4.5
Minnesota,3.4
Mississippi,2.8
Missouri,3.9
Montana,3.3
Nebraska,2.7
Nevada,5.6
New Hampshire,2.5
New Jersey,4.7
New Mexico,4.2
New York,4.4
North Carolina,3.8
North Dakota,2.3
Ohio,4.5
Oklahoma,3.4
Oregon,4.0
Pennsylvania,3.4
Rhode Island,4.6
South Carolina,4.5
South Dakota,2.0
Tennessee,3.2
Texas,4.1
Utah,3.5
Vermont,2.2
Virginia,2.9
Washington,4.8
West Virginia,4.2
Wisconsin,2.9
Wyoming,3.1
Puerto Rico,5.5
